,portfolio,benchmark,risk_free,portfolio_return,benchmark_return,excess_return
2007-10-31,7008583.441943353,1406548.4807999998,0.04516604,0.02803665095076613,0.015906810884635636,0.024272814284099463
2007-11-30,6490000.292518536,1347745.4577600001,0.041614003000000004,-0.07399257691951278,-0.04180660947182879,-0.0774604105028461
2007-12-31,6231290.0277783815,1338395.27724,0.04089915,-0.03986290494291456,-0.006937645729884756,-0.04327116744291456
2008-01-31,6160723.073834416,1258116.250488,0.037362247,-0.0113246139450075,-0.059981552622891066,-0.014438134528340833
2008-02-29,6130639.368261798,1217245.33662,0.037352500000000004,-0.004883145243192111,-0.0324858007772707,-0.007995853576525444
2008-03-31,5821442.6373992255,1211989.327572,0.03500835,-0.050434663057050466,-0.004317953735271329,-0.053352025557050466
2008-04-30,6200654.454242382,1271016.9415320002,0.03652005,0.06514052279875648,0.0487030806436648,0.062097185298756484
2008-05-30,6264032.965791504,1287479.92392,0.038742719,0.010221261645334767,0.012952606570417746,0.0069927017286681
2008-06-30,6272513.908357974,1178940.853356,0.040809,0.0013539109089599766,-0.08430350527993491,-0.002046839091040023
2008-07-31,6175728.80443489,1169030.47212,0.039824455,-0.015430034167659645,-0.008406173395203775,-0.018748738750992977
2008-08-29,5506195.2108047595,1185940.140996,0.038788571,-0.10841369736788431,0.01446469470152878,-0.11164607828455098
2008-09-30,5007670.049181918,1080264.228084,0.036760668999999996,-0.09053895521985678,-0.0891072907130448,-0.09360234430319012
2008-10-31,3644838.9764889632,898836.04428,0.037810133,-0.2721487357010661,-0.16794796966089331,-0.2752995801177328
2008-11-28,2746268.67686197,834340.46544,0.035305843,-0.24653223514762146,-0.07175455329193348,-0.2494743887309548
2008-12-31,2916948.5179148624,843218.07696,0.02385805,0.06214972427531018,0.010640274429597696,0.06016155344197685
2009-01-30,1998506.6715076836,772146.2354399998,0.0247081,-0.3148639205547973,-0.08428643012046289,-0.3169229288881306
2009-02-27,2451165.6025711987,689929.8278399999,0.02860284,0.2264985839261806,-0.10647776784555552,0.2241150139261806
2009-03-31,3786807.318727868,750364.35972,0.027991183,0.5449006443120863,0.0875951864107769,0.542568045728753
2009-04-30,3862387.1285441816,822181.29012,0.028880618,0.019958715470557387,0.09570941032806868,0.01755199730389072
2009-05-29,4474146.815340703,868168.3086000001,0.032845497,0.15838901343561274,0.05593294208055766,0.15565188868561275
2009-06-30,4642726.899589939,869890.4338800001,0.037021363,0.03767871087091246,0.0019836306657832203,0.034593597287579124
2009-07-31,4779989.597668497,935686.61316,0.03533286,0.02956510280427671,0.07563731789361916,0.02662069780427671
2009-08-31,4922062.690157698,969468.8718000001,0.035771143,0.02972246896907449,0.03610424490942621,0.026741540385741155
2009-09-30,5265068.523997972,1005644.72868,0.03386571,0.06968741672595091,0.03731512989461194,0.06686527422595091
2009-10-30,5459614.849328428,986962.7958000001,0.033664412000000005,0.03695038809917128,-0.01857707035815881,0.034145020432504614
2009-11-30,5326850.820378835,1046164.2732,0.03392995,-0.024317471582436467,0.0599834944659825,-0.0271449674157698
2009-12-31,5823366.950042205,1066371.4494,0.035796182,0.09321006846368918,0.019315490614289832,0.0902270532970225
2010-01-29,5583939.048879277,1028010.102,0.03709779,-0.04111502902306241,-0.03597371949669537,-0.04420651152306241
2010-02-26,5349726.22576578,1059854.925,0.036777790000000005,-0.04194401497998168,0.03097714987240474,-0.04500883081331501
2010-03-31,5708568.253940336,1123811.784972,0.037190647,0.06707670879423189,0.06034491935016484,0.06397748821089855
2010-04-30,6196260.406788457,1141554.190932,0.038182428000000004,0.08543160581665843,0.015787702351281352,0.08224973681665843
2010-05-28,5732118.678534394,1050400.19988,0.034128952,-0.07490674984310886,-0.07985077868058033,-0.07775082917644219
2010-06-30,5203621.379467558,995413.60788,0.03194218,-0.09219929465974763,-0.05234823070890671,-0.09486114299308096
2010-07-30,5693789.528755654,1065155.31036,0.02985043,0.09419750468821575,0.07006303905020306,0.09170996885488242
2010-08-31,5326861.081011789,1017069.7164,0.026867774,-0.06444362684829608,-0.04514420901093574,-0.06668260801496274
2010-09-30,5490355.891891789,1107837.8127,0.026352093,0.030692523869788157,0.08924471433608394,0.028496516119788158
2010-10-29,5683005.531031179,1149990.106296,0.025077712999999998,0.035088734306622626,0.03804915585365998,0.03299892488995596
2010-11-30,5795062.0913924975,1150137.566988,0.02737205,0.019717834119542976,0.00012822779186749678,0.01743682995287631
2010-12-31,5865326.75889363,1227002.867856,0.032797136,0.012124920560471208,0.06683139745560718,0.009391825893804542
2011-01-31,5778201.2063702755,1256084.787564,0.033681,-0.014854339085413337,0.023701590656276306,-0.017661089085413337
2011-02-28,5616595.622186713,1299117.10908,0.035652108,-0.027968147596763804,0.034259089786012886,-0.030939156596763804
2011-03-31,6038665.700438385,1299633.861732,0.034084474999999996,0.075146958521352,0.0003977721857315597,0.07230658560468534
2011-04-29,6102142.265452868,1338122.91072,0.0343778,0.010511687210947196,0.029615301756378054,0.007646870544280529
2011-05-31,5995842.812779583,1322975.95956,0.0316,-0.01742002202654258,-0.011319551469191946,-0.020053355359875916
2011-06-30,6221945.815972922,1300923.094896,0.029893681999999998,0.03770996176074215,-0.01666913484303556,0.03521882159407548
2011-07-29,5913806.486183404,1274469.292068,0.029773705,-0.04952459229048023,-0.02033464001968155,-0.05200573437381356
2011-08-31,5861014.99457744,1205237.652528,0.022917962,-0.0089268209450718,-0.05432193617443859,-0.010836651111738467
2011-09-30,5457798.265368264,1120510.862472,0.019616811,-0.0687963995284484,-0.07029882436736401,-0.07043113377844841
2011-10-31,6048204.52424926,1242974.987136,0.021295333,0.10817663647030362,0.10929311688583487,0.10640202538697029
2011-11-30,6018451.964638431,1240228.0558320002,0.020081380000000003,-0.004919238344461063,-0.0022099650696344453,-0.0065926866777943965
2011-12-30,6061500.092923087,1252914.464196,0.019714334,0.007152691179988846,0.010229093193258931,0.00550983001332218
2012-01-31,6361211.651525094,1309064.348112,0.019444449,0.04944511325701795,0.044815416790667806,0.047824742507017945
2012-02-29,6667371.63537265,1365670.88472,0.019607999,0.048129193087633526,0.04324198171743121,0.046495193170966856
2012-03-30,6462192.716771349,1410614.05992,0.021629324,-0.030773583628180723,0.03290922849923272,-0.03257602729484739
2012-04-30,6387537.994425118,1401759.82644,0.020304298,-0.011552537291634746,-0.006276864616323263,-0.013244562124968079
2012-05-31,5908349.307129156,1317513.0260639999,0.017895318,-0.0750193091163115,-0.0601007382198695,-0.0765105856163115
2012-06-29,6416311.1883204635,1371797.48784,0.016098335,0.08597356973772508,0.04120222016944464,0.0846320418210584
2012-07-31,6440864.087434012,1390850.3898,0.015010477,0.0038266378286393454,0.01388900484866773,0.002575764745306012
2012-08-31,6169799.221568434,1422176.2670399998,0.016716956999999998,-0.04208517090034869,0.022522823065465936,-0.04347825065034869
2012-09-28,6415531.523230456,1458927.7062,0.017094738,0.03982824932179141,0.025841690662221195,0.03840368782179141
2012-10-31,6628668.473529198,1431989.5289999999,0.017258571,0.03322202525651696,-0.018464367415548355,0.03178381100651696
2012-11-30,6754066.752897257,1440296.65968,0.016453333,0.018917566909375738,0.005801111329215791,0.017546455826042404
2012-12-31,7099501.902680737,1453424.50416,0.017080500000000002,0.05114476395059331,0.009114680917830187,0.04972138895059331
2013-01-31,7331923.241294644,1528704.64056,0.018915238,0.03273769650320757,0.05179500977486806,0.031161426669874235
2013-02-28,7255198.343226244,1549456.6452000001,0.01966,-0.010464498269195266,0.013574894776533286,-0.0121028316025286
2013-03-28,7476962.563053908,1607566.33536,0.019480002,0.030566251856465332,0.03750326951064786,0.02894291835646533
2013-04-30,7650413.962796993,1638538.74192,0.017343636,0.02319810996515681,0.019266642923984945,0.02175280696515681
2013-05-31,7402652.039405558,1676867.2158000001,0.019190907,-0.03238542706267522,0.023391863066409835,-0.03398466931267522
2013-06-28,6839727.20952172,1654348.86732,0.022944,-0.07604367014514457,-0.01342882028333836,-0.07795567014514457
2013-07-31,6715051.254145905,1738529.0857199999,0.025630455,-0.018228205827017674,0.05088419985826187,-0.020364077077017675
2013-08-30,6746017.483803792,1688178.4859999998,0.027340908,0.004611465867631059,-0.028961609059964477,0.0023330568676310595
2013-09-30,6942263.00554858,1741118.8716,0.028043,0.02909057413739946,0.03135947178514176,0.026753657470732793
2013-10-31,7104950.127680517,1821154.2004799999,0.026041305,0.02343430694024562,0.04596775681746035,0.02126419819024562
2013-11-29,6963494.381078924,1876652.0046,0.027088047999999997,-0.019909463692150187,0.030473973101988072,-0.022166801025483518
2013-12-31,6965805.954061211,1924161.5442000001,0.028924809,0.00033195589107792856,0.025316115872066725,-0.0020784448589220715
2014-01-31,6620202.954193101,1857635.43684,0.028500573999999997,-0.049614215806085715,-0.0345740759451979,-0.051989263639419046
2014-02-28,6908546.252302183,1942610.8404,0.027001846,0.04355505414323457,0.04574385365115052,0.04130490030990124
2014-03-31,7483883.757764135,1958939.87676,0.027179432,0.08327909873516859,0.008405716688288267,0.08101414606850192
2014-04-30,7434503.717003044,1973420.42592,0.026887524,-0.006598183825324844,0.0073920334829011836,-0.008838810825324844
2014-05-30,7521490.991225919,2019744.66696,0.025574715,0.011700481637251903,0.02347408612556734,0.009569255387251903
2014-06-30,7877758.618884314,2061467.559,0.025924666,0.04736662293074523,0.020657508210084163,0.045206234097411896
2014-07-31,7844222.008945704,2033038.0044,0.025254774,-0.0042571258604213735,-0.013790929901313032,-0.006361690360421373
2014-08-29,7960321.103706945,2114369.7786,0.024142662999999998,0.014800587569913093,0.04000504369518798,0.01278869898657976
2014-09-30,7984954.723906461,2084718.6368399998,0.025239381999999998,0.0030945510713185076,-0.014023631088613597,0.0009912692379851745
2014-10-31,8293561.50844145,2135638.1803200003,0.022870650000000003,0.03864853279769265,0.024425139479341773,0.036742645297692646
2014-11-28,8489380.583737887,2193075.59952,0.023208315,0.023610975224229946,0.026894733260197423,0.021676948974229948
2014-12-31,8658545.65390174,2187551.00916,0.022032316,0.019926668205676012,-0.0025191062092020378,0.01809064187234268
2015-01-30,7945090.789746475,2121882.4086,0.018678751,-0.08239892617922118,-0.030019231681923553,-0.08395548876255451
2015-02-27,8493743.565234061,2243830.19172,0.019697052,0.06905557028947351,0.0574715086122326,0.06741414928947351
2015-03-31,8609904.54532025,2208345.18216,0.020381587,0.013676063939774386,-0.015814480833239553,0.011977598356441053
2015-04-30,8509443.384975739,2229530.30304,0.019218948,-0.011668092232115956,0.009593210812848918,-0.013269671232115957
2015-05-29,8490432.904099194,2258200.41372,0.02182605,-0.0022340451679964124,0.012859260374666226,-0.004052882667996412
2015-06-30,8058172.807452124,2214486.0528,0.023600817,-0.0509114319057129,-0.019358051948979993,-0.0528781666557129
